Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
3 - 10 yıl tecrübeli adaylar,Yapıldı,Üretim / İmalat,Üretim Mühendisi,İstanbul(Avr.)(Esenyurt),Akümsan,"GENEL NİTELİKLER VE İŞ TANIMI
Türkiye ve dünya genelindeki otomotiv ve endüstriyel akü üreticilerine, akümülatör kutusu ve kapakları üretmek üzere 1979 yılında İstanbul'da kurulmuş olan şirketimiz, faaliyet konusunda ki yüksek kapasitesi ve yüzlerce ürün çeşidi ile hizmet veren, geniş Ar-ge ekibiyle pazar ihtiyaçlarını daha verimli ve çevreci ürünlerle karşılamayı amaçlayan, özel tasarım ürünleriyle müşterilerine farklılaşma imkanı sağlayan ve sektöründe yüksek marka bilinirliğine sahip önemli oyunculardan biridir. 
Halen 40’ın üzerinde ülkeye düzenli ihracat yapan Akümsan, akümülatör endüstrisindeki pazar payını istikrarlı bir şekilde arttırmaktadır.
 Son zamanda özellikle telekomünikasyon, yenilenebilir enerji sistemleri ve elektrikli endüstriyel taşıma araçları alanlarında kullanılan akülerin yaygınlaşması ile sektörün plastik kutu ve kapak ihtiyaçlarına cevap verebilmek için sürekli olarak yeni yatırımlarını devam ettirmektedir.                          
Yaklaşık 40 yıllık deneyime ve ileri teknolojiye sahip; daima yüksek kaliteyi hedefleyen, sektördeki gelişmeleri sistemli olarak araştıran, yenilikleri müşterilerine sunan dinamik ekibimiz için  Üretim Mühendisi pozisyonuna yüksek motivasyonlu takım arkadaşları arıyoruz.
 GENEL NİTELİKLER
Üniversitelerin Makine veya Endüstri Mühendisliği bölümlerinden mezun,
Plastik enjeksiyon konusunda en az 3 yıl tecrübeli,
ISO 9001 ve TS 16949 Kalite Yönetim Sistemi konusunda bilgili,
İyi derecede İngilizce bilgisine sahip,
MS Office programlarına hakim ve konusuyla ilgili ile rapor ve sunum dosyaları hazırlayabilecek,
Sürekli iyileştirmenin önemine inanan,
İletişim yeteneği kuvvetli ve takım çalışmasına yatkın,
Kalite duyarlılığı yüksek, Esnek çalışma saatlerine uyabilecek,
Erkek adaylar için askerliğini yapmış,
Tercihen Esenyurt - Avcılar - Beylikdüzü civarında ikamet eden,
 
Üretim Mühendisi aranmaktadır.
           İŞ TANIMI
Üretim ve ürün tasarımı sırasındaki süreçleri takip etmek,
Üretim sırasında üretimden doğan maliyet kontrolü yapmak,
Üretim verimlilik programını kullanarak günlük raporları hazırlamak, analiz etmek ve gerekli iyileştirmeleri başlatmak,
Makine ve ekipmanları sürekli kontrol etmek,
Hem kullanılan ekipmanlar hem de hammadde kalitesine kadar üretimde kullanılan unsurların kalitesini ölçmek ve değerlendirmek,
Malzeme artmaması, fazla mesai harcanmaması ve geciken ürün olmaması adına verimlilik yöntemleri oluşturmak,
Üretilen ürünler için harcanan zaman, emek ve para ile ilgili sürekli araştırmalar ve analizler yaparak istatistik oluşturmak,
Yalnıza süreç kontrollerinde değil aynı zamanda malzeme ve makine kontrollerinde de aktif olarak rol almak,
Kendisine bağlı çalışan ekibin işini doğru yapıp yapmadığını denetlemek,
Üretim planlama ile koordinasyon halinde olarak kalıp-makine verimliliğini takip etmek.
Başarısızlık oranları istatistiki dökümlerle belirlemek ve bunun için çözüm bulmak.
 ",1000-1500,7542,10
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf",Müşteri İlişkileri,E-Ticaret Uzmanı,İstanbul(Avr.)(Bahçelievler),Alliance Healthcare Yatırım Holding A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimizin Genel Merkez Müşteri İlişkileri ve Satış Direktörlüğü bünyesinde görevlendirilmek üzere,
Üniversitelerin ilgili bölümlerinden (İstatistik, Matematik, İşletme vb.) mezun,
E - ticaret web sitesi yönetiminde ve admin paneli oluşturmada en az 2 yıl deneyimli,
İyi derecede İngilizce bilen,
MS Office programlarına hakim (özellikle iyi derecede Excel),
Erkek adaylar için askerlik hizmetini tamamlamış,
İstanbul Avrupa Yakası’nda ikamet eden veya edebilecek olan,
E-Ticaret Uzmanı aranmaktadır.
Pozisyon;
Online site içerik yönetiminin panel üzerinden yapılması,
Online site operasyonel iş akış süreçlerinin yürütülmesine katkı sağlanması,
Online satış kanallarının tedarikçi anlaşmalarına destek olunması,
Firma performans raporlarının (ürün, kategori ve kampanya bazında) ve mutabakatlarının hazırlanması,
Sadakat programının ve müşterilere verilen hediyelerin takibinin yapılarak raporlanması,
E-ticaret sitesinin sürüm geçişlerinden önce kullanıcı testlerinin (UAT) yapılması,
Online tarafta müşteri istek ve şikâyetlerinin kayda alınarak hızlı bir şekilde taleplerin karşılanması vb. görevlerden sorumlu olacaktır.",100-200,996,8
Tecrübesiz adaylar,NaN,NaN,Stajyer (Genel Müdürlük),İstanbul(Asya)(Çekmeköy),KOÇTAŞ YAPI MARKETLERİ TİC.A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Koçtaş, Koç Holding ile ev geliştirme perakendeciliği konusunda Avrupa'nın lider kuruluşu olan Kingfisher/B&Q ortaklığıdır. Dünya standartlarında perakendecilik uygulamalarıyla hızla büyümeyi hedefleyen Koçtaş, Çekmeköy’de bulunan Genel Müdürlük bünyesinde görevlendirilecek Üniversite Stajyerleri aramaktadır. 
Eğer sen de;
Üniversite 4. sınıftaysan,
Endüstri Mühendisliği, İstatistik, İşletme ve İletişim bölümlerinde okuyorsan,
Dinamik perakendecilik sektöründe deneyim kazanmak istiyorsan,
MS Office uygulamalarına hakimim diyorsan,
İletişimin güçlü ise,
Sonuç odaklı olduğunu düşünüyorsan,
Öğrenmeye meraklıysan ve
Koçtaş’ta staj yapmak #güzelfikir diyorsan,
Aramıza katılmanı sabırsızlıkla bekliyoruz!
Stajın boyunca sigortanın okul tarafından karşılandığını teyit etmeyi lütfen unutma! ",3500-4000,23787,47
En az 1 yıl tecrübeli adaylar,NaN,Dijital Pazarlama,Web Analitiği Uzmanı,İstanbul(Asya),iLab Holding,"GENEL NİTELİKLER VE İŞ TANIMI
iLab Holding, Türkiye'de erken aşama ve büyümekte olan internet girişimlerine yatırım yapan online bir platformdur. Kurulduğu 2000 yılından bu yana Türkiye'nin dijitalleşme sürecinde önemli bir rol oynamaktadır.
iLab Holding, seçkin insan kaynağı ve yönetim ekipleri ile Türkiye'nin lider seri ilan ve pazaryeri girişimlerini geliştirmektedir. Hedefimiz tüketici ve kurumsal odaklı girişimlerimizle bireyin yaşam döngüsünde temel ihtiyaçlarını bulmasına yardımcı olan en büyük online platform olmaktır.
iLab Holding girişimleri Kariyer.net, Arabam.com, Emlakjet.com, Sigortam.net, Hangikredi.com, Neredekal.com, Cimri.com, SteelOrbis.com ve ChemOrbis.com'un; hizmet ve avantajlarından her gün milyonlarca internet kullanıcısı yararlanmaktadır. iLab Holding online platformu girişimleri ile Türkiye’deki İnternet Kitlesinin %48'ine ulaşmakta ve 1.400'ü aşkın çalışanı istihdam etmektedir.

İlab Holding bünyesinde görev alacak ""Web Analitiği Uzmanı"" takım arkadaşı arıyoruz

Üniversitelerin ilgili bölümlerinden mezun,
Web analitiği konusunda en az 1 yıl deneyimli,
Data analizi araçlarını kullanabilen, tercihen web analitiği, rapor geliştirme ve performans raporlama konularında en az 1 yıl tecrübeli, (Google Analytics, Firebase Analytics, Google Tag Manager vb.)
Temel düzeyde HTML ve JavaScript bilgisine sahip,
Rakamlarla ve istatistikle uğraşmaktan keyif alan,
Teknolojiye meraklı, gelişmeleri takip eden,
Ms Office uygulamalarını iyi derecede kullanabilen,
Daha önce Data Studio ile gösterge panelleri oluşturmuş,
R, Python, BigQuery, API gibi konulara meraklı,
İyi derecede İngilizce bilen.

İş Tanımı
KPI ve metriklerin sağlıklı ölçümlenebilmesi için gerekli entegrasyonları Bilgi Teknolojileri ekibi ile koordineli olarak gerçekleştirmek,
Pazarlama ve ürün ekiplerini raporlama ve analizle desteklemek,
Haftalık ve aylık raporlar hazırlamak ve dağıtmak,
Web ve app. metriklerini takip ve analiz etmek,
Daha iyi karar almayı desteklemek için eyleme geçirilebilir rapor ve analizler geliştirmek ve sunmak.",0-50,515,20
Tecrübeli ya da tecrübesiz adaylar,Yapıldı,Risk Yönetimi,Risk Yönetim Uzmanı,İzmir,YAŞAR HOLDİNG A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
Türkiye'de ilklerin öncüsü olan YAŞAR TOPLULUĞU olarak Holding merkezde Risk Yönetimi Departmanı’nda görevlendirmek üzere Risk Yönetim Uzmanı aramaktayız.
Üniversitelerin İşletme, Ekonomi, İstatistik veya Mühendislik fakülte/bölümlerinden mezun, tercihen konusunda yüksek lisansı bulunan,
Tercihen Risk Yönetimi, Denetim ve/veya İç Kontrol alanında çalışmış olan,
Uluslararası kabul görmüş risk yönetim uygulamaları ve risk yönetim standartları hakkında bilgi sahibi olan (COSO, ISO:31000...vb),
Finansal sonuçlar üzerinde etkisi bulunan risk unsurlarını değerlendirip yönetebilecek olan,
Tercihen SAP ve MS Office uygulamalarını çok iyi seviyede kullanabilen,
Topluluk Şirketleri organizasyonunda her seviyede iletişim ve çalışmada bulunabilecek; analiz, müzakere ve raporlama ve sunuş yeteneğine sahip,
Sonuç odaklı, pro-aktif,  gelişime açık, disiplinli bir çalışma kişiliği ve kültürüne sahip,
Çok iyi derecede İngilizce bilen,
Erkek adaylar açısından askerlik görevini tamamlamış,
İzmir’de ikamet eden/edebilecek olan.
İŞ TANIMI
Topluluk şirketlerinin Kurumsal Risk Yönetimi süreçlerinde finansal ve ilgili yasal/regulasyon risklerinin tanımlanması, ölçümlenmesi, anahtar risk göstergelerinin belirlenmesi, aksiyon planlarının hazırlanması, izlenmesi, erken uyarı sistemlerinin kurulması,
Topluluk şirketlerinin faaliyetleri ile ilişkili mevzuatların takibi, yasal/regülasyon risklerinin tanımlanması ve riski önleyici aksiyonların alınmasının sağlanması,
Kritik risklerin yönetiminin koordine edilmesi, risklerin konsolide edilmesi ve raporlanması,
Kurumsal Risk Yönetimi politika, prosedür ve uygulamalarının, yasal mevzuat ve risk standartları çerçevesinde, geliştirilmesi ve güçlendirilmesi,
Üst yönetim ve Riskin Erken Saptanması Komitesi için sunum ve raporların hazırlanması.",500-750,2870,10
En az 2 yıl tecrübeli adaylar,NaN,Finans,İştirak ve Grup Raporlaması Uzman Yardımcısı,İstanbul(Avr.)(Şişli),DenizBank,"GENEL NİTELİKLER VE İŞ TANIMI

Üniversitelerin Mühendislik, İşletme, İktisat, Ekonometri, Matematik, İstatistik bölümlerinden mezun,
Finans alanında raporlama konusunda en az 2 yıl tecrübeli,
MS Office programlarına hakim,
İyi derecede İngilizce bilen,
Analitik düşünme ve problem çözme yetkinliğine sahip,
Sorumluluk bilinci yüksek,
Dikkatli ve sonuç odaklı,
Askerlik hizmetini tamamlamış veya en az 2 yıl tecili olan.

İş Tanımı
Bağımsız ve yasal denetim çalışmalarına destek vermek, aylık bütçe- fiili varyans analizlerini yapmak,
Ekonomi ve finans sektöründeki gelişmeleri ve trendleri yakından izlemek,
İştiraklerin mali tablolarının analiz yorumlamasını, yıllık bütçelerinin konsolidasyonu ve analizini yapmak,
İştirak bazında yönetim için sunumları hazırlamak.",1500-2000,9632,44
1 - 3 yıl tecrübeli adaylar,NaN,Enerji Piyasası İşlemleri,Enerji Piyasası Uzman Yardımcısı,İzmir,Gdz Elektrik Dağıtım A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
GDZ Elektrik Dağıtım AŞ, 2013 yılından itibaren İzmir ve Manisa illerinde günlük yaşamın vazgeçilmezi olan elektrik enerjisini insan odaklı hizmet anlayışı ve gelişen teknoloji sistemleri ile tüketicilerine ulaştırmaktadır.
Hayatın her anına dokunan ve her alanda çözümler sunan uygulamaları ile elektrik dağıtım altyapısının geliştirilmesi ve güçlendirilmesi için gereken teknolojik yatırımları gerçekleştirmektedir.
Hizmet bölgesinde sürdürülebilir ve kaliteli elektrik dağıtım hizmeti vermek için çalışmalarına teknoloji ve inovasyon merkezli devam etmektedir.
İŞİN TANIMI
Elektrik Piyasası tarife süreçlerinin takibi, hesapların analiz edilmesi, izlenmesi ve raporlanması,
Konusu alanındaki mali hesapların, veri analizi ve modellemelerin yapılması,
Elektrik piyasası faaliyetlerine ilişkin mevzuatların ve yeni düzenlemelerin takip edilmesi,  raporlanması, oluşan değişikliklerin şirket faaliyet süreçlerindeki etki analizlerinin tarife boyutuyla yapılması,
Elektrik tedarik (GÖP,GİP-DGP) ve mali uzlaştırma süreçlerinin takibi, optimizasyonu ve sonuçlarının analiz edilmesi,
Kamu kurum ve kuruluşlarla yapılan yazışmalar ile regülasyon kapsamındaki resmi bildirimlerin yapılması.
GENEL NİTELİKLER
Üniversitelerin Endüstri /İşletme Mühendisliği, İktisat, Ekonometri, Matematik veya İstatistik bölümlerinden mezun,
Tercihen elektrik piyasası sektör şirketlerinde minimum 1-3 yıl çalışmış ve/veya elektrik piyasası faaliyetleri ile bilgi sahibi,
Raporlama, analiz ve analitik düşünme becerileri yüksek, detaylara hakim, sonuç odaklı çalışabilen,
Excel başta olmak üzere MS Office programlarını iyi düzeyde kullanan,
Tercihen veri analitiği ve modelleme konusunda bilgi sahibi,
Araştırma, iş takibi ve planlama becerileri gelişmiş,
Seyahat engeli olmayan ve aktif araç kullanabilen,
Yoğun çalışma temposuna ve esnek çalışma saatlerine ayak uydurabilecek,
Yazılı ve sözlü olarak İngilizce bilen,
Problem çözme becerisi yüksek, yazılı ve sözlü iletişimi güçlü, takım çalışmasına yatkın,
Erkek adaylar için askerlik görevini tamamlamış olan.
 ",1000-1500,9007,90
1 - 10 yıl tecrübeli adaylar,"Yapıldı, Muaf",Hazine ve Sabit Getirili Menkul Değerler,Hazine Dealer/Dealer Yardımcısı,"İstanbul(Avr.), İstanbul(Asya)",GCM YATIRIM MENKUL DEĞERLER A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
- Üniversitelerin İşletme, İktisat, Ekonomi ve İstatistik bölümlerinden mezun,
- Tercihen bankaların ya da aracı kurumların hazine birimlerinde 2-4 yıl deneyimli,
- SPK Türev ve İleri Düzey Lisansına sahip,
- Forex ve türev araç işlemleri konusunda bilgi ve tecrübe sahibi,
- Meta Trader İşlem platformu ile Meta Manager  programlarına hâkim,
- İyi derecede İngilizce bilen,
- Analitik düşünme becerisine, sayısal konulara yatkın,
- Askerlik görevini tamamlamış (erkek adaylar için)
İŞ TANIMI
Kurumun günlük Hazine Birimi faaliyetlerinin yürütülmesi,
Forex ve Viop müşteri emirlerinin alınması ve gerçekleştirilmesi,
Müşteri teminat seviyelerinin takip edilmesi,
VİOP ve Forex işlemlerine ilişkin risk yönetiminin yürütülmesi.",300-500,2483,34
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",Bilgi İşlem,Veri Ambarı ve İş Zekası Uzmanı,"İstanbul(Avr.), İstanbul(Asya)",Sektöründe Öncü Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin tercihen Mühendislik, Matematik, İstatistik, MIS vb. bölümlerinden mezun,
ETL tasarımı ve analiz rollerini üstlenebilecek,
Veri ambarı projelerinde deneyim sahibi ya da bu konularda görev almaya istekli,
SQL yazmayı bilen, TSQL, PLSQL ile geliştirme yapmış,
Oracle, SQL Server,  PostgreSQL veritabanlarından herhangi biri ile çalışmış,
ODI, SAP Data Services, Microsoft SSIS, IBM Data Stage, Informatica vb. ETL ürünlerinden biri ile çalışmış,
Cloud ortamlarda çalışmış veya çalışmayı isteyen,
Tercihen ETL geliştirme ürünleri ile büyük veri ortamlarına veri transferi konusunda çalışmış,
Analitik düşünme yetkinliği gelişmiş,
İletişim ve koordinasyon yetkinlikleri gelişmiş,
Erkek adaylar için askerliğini tamamlamış yada 1 yıl tecilli olmak.",500-750,4385,2
En az 2 yıl tecrübeli adaylar,"Yapıldı, Muaf",Lojistik,Raporlama Uzman Yardımcısı,İstanbul(Asya),Medlog Lojistik Gemicilik Turizm A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
•Lisans mezunu,
•İngilizce bilgisine sahip,
•Tercihen SAP bilen,
•MS Office programlarına hakim,
•Etkin iletişim, planlama ve koordinasyon becerisine sahip,
•Dikkatli, sistematik ve titiz çalışan,
•Analitik düşünme yeteneği kuvvetli,
•Erkek adaylar için askerlik hizmetini tamamlamış.


İŞ TANIMI
•Yönetime ayrıntılı günlük faaliyet raporu hazırlamak,
•Sistem üzerindeki bilgilerin eksik ve hatalı olup olmadığını kontrol ederek eksik ve hatalı işlerin ilgililerine dönüp düzeltilmelerini  sağlamak,
•Yurt içi ve yurt dışı günlük / haftalık / aylık/yıllık rapor ve istatistiklerin oluşturulmasını sağlamak,
•Özvarlık araçların maliyetlerini hesaplamak, değişimlerini ilgili birimlere iletmek, sisteme girilmiş olan iş emirlerindeki maliyetlendirmenin doğruluğunu kontrol etmek.",1000-1500,3826,3
En az 1 yıl tecrübeli adaylar,NaN,Satış,Rezervasyon Elemanı,İstanbul(Avr.)(Fatih),Grand Sirkeci,"GENEL NİTELİKLER VE İŞ TANIMI
Grand Sirkeci Otel size İstanbul'un kalbinde ayrıcalıklarla dolu bir dünyanın kapılarını aralıyor! Modern bir yaşam alanının keyfini çıkarırken aynı zamanda tarihi yarımadanın kültür kokan atmosferini doyasıya yaşamak isterseniz Grand Sirkeci Otel ailesinde yeriniz hazır! 
Alanında kariyer hedefleyen, aşağıda belirtilmiş niteliklere uygun Grand Sirkeci Oteli'nde görevlendirilmek üzere Rezervasyon Elemanı aramaktayız.

Tercihen Üniversite, Turizm Otelcilik Bölümü mezunu
Uluslararası otellerin rezervasyon bölümünde en az 2 yıl deneyimli olan
Opera ve MS Office programlarına hakim
İyi derecede İngilizce konuşabilen
İletişim becerisi ve insan ilişkileri güçlü, misafir memnuniyet odaklı
Temsil ve sunum yeteneği yüksek, pozitif, güler yüzlü
Problemi tanımlama, çözümler geliştirme ve sonuç alabilme becerisine sahip
Pozitif ve mesleğini seven, detaylar konusunda titiz, enerjisi yüksek
Kendisini geliştirmeye açık ve sorumluluk sahibi
Uzun soluklu bir çalışma ortamı arayan
Bay/bayan, Bay adaylar için askerlik hizmetini tamamlamış olan

İŞ TANIMI
Rezervasyon departmanının operasyonunun eksiksiz ilerlemesini sağlar
Şirketlerden ve acentalardan gelen rezervasyonların sisteme girişini yapmak ve giriş gününden önce kontrollerini yapmak
Vip misafirlerin bilgilerini sisteme tanımlamak ve odasında yapılacak olan ikramların bildirimini yapmak
Online rezervasyonların sisteme girişlerini ve ödeme takiplerini yapmak
Operasyon Müdürü tarafından istenen rapor ve istatistikleri hazırlamak
Departmandaki diğer arkadaşları ile koordineli çalışarak gerektiğinde ekip arkadaşlarına yardımcı olmak",50-100,565,2
